Publication Title,Type,Year,Topic,University / Organization,Author,Publication Notes,URL,Reference
"Journal of Mathematical Modelling and
Applied Computing (Volume No. 12 Issue No. 1)",Journal Article,2024,Mind Mapping,Al-Falah University,Shahnawaz AhmadYahiya Gazi,"Strengthening Collaborative Mind Map Tool To Facilitate
Requirement Elicitation Process",https://www.enrichedpublications.com/ep_admin/jounral/pdf/1710134593.pdf,"Eric T. Blue. (2006). Mind Mapping and the Software Development Life Cycle. Eric's Blue Blog : Technology, Philosophy, and Personal Development. Retrieved from http://eric-blue.com/2006/12/16/mind-mapping-and-the-software-development-life-cycle/"
Global Journal of Operating System and Techniques,Journal Article,2024,Mind Mapping,Enriched Publications,Shahnawaz AhmadYahiya Gazi,"Strengthening Collaborative Mind Map Tool To Facilitate
Requirement Elicitation Process",https://enrichedpublications.com/ep_admin/jounral/pdf/1709977680.pdf,"Eric T. Blue. (2006). Mind Mapping and the Software Development Life Cycle. Eric's Blue Blog : Technology, Philosophy, and Personal Development. Retrieved from http://eric-blue.com/2006/12/16/mind-mapping-and-the-software-development-life-cycle/"
The Contribution of sleep and cortisol awakening response to age-related executive functioning among community dwelling older adults,Thesis,2022,Quantified Self,The University of Western Australia,Denise Parker,Doctor of Philosophy thesis,https://api.research-repository.uwa.edu.au/ws/portalfiles/portal/216422134/THESIS_DOCTOR_OF_PHILOSOPHY_PARKER_Denise_2022.pdf,"The Zeo Sleep Manager. Source http://eric-blue.com/2011/01/02/zeo-personal-sleep-
coach-hacking-your-way-to-a-better-nights-sleep/"
"Competitor Analysis of the Wearable Fitness Technology Within the
Personal Trainer Profession in The United States.",Thesis,2022,Quantified Self,Haaga-Helia University of Applied Sciences,Tiia Virtanen,Bachelor's Thesis,https://www.theseus.fi/bitstream/handle/10024/752590/Virtanen_Tiia_thesis.pdf;jsessionid=401BA938B702CB8E5D1C3D40BA45DBB7?sequence=2,ActiveOS - https://activeos.com
Collaborative Mind Map Tool to Facillitate Requirement Engineering (RE),Research Project,2021,Mind Mapping,University of Manchester,Juliana Jaafar,COMP60990: Research Skills and Professional Issues,https://studentnet.cs.manchester.ac.uk/resources/library/thesis_abstracts/BkgdReportsMSc09/JaafarJ.pdf,"Eric T. Blue. 2006. Mind Mapping and the Software Development Life Cycle. Eric's Blue Blog : Technology, Philosophy, and Personal Development. [Online] Eric T. Blue, December 16, 2006. http://eric-blue.com/2006/12/16/mind-mapping-and-the-software-development-life-cycle/. [Accessed: March 3, 2009]."
"La calidad del software desde la perspectiva del
análisis de requerimientos",Thesis,2021,Mind Mapping,Universidad de Buenos Aires,Ing. Viviana Sarango,,http://bibliotecadigital.econ.uba.ar/download/tpos/1502-2045_SarangoV.pdf,"Eric T. Blue. (2006). Mind Mapping and the Software Development Life Cycle. Eric's Blue Blog :
 Technology, Philosophy, and Personal Development. Retrieved from
http://eric-blue.com/2006/12/16/mind-mapping-and-the-software-development-life-cycle/"
"Networks of opinion leaders and heterogeneous organizations:
The organizational elites of the Quantified Self and
Maker Movements on Twitter",Research Paper,2020,Quantified Self,ZeMKI,"Heiko Kirschner, Anne Schmitz & Andreas Hepp",ZeMKI Working Paper|No. 36,"https://www.uni-bremen.de/fileadmin/user_upload/fachbereiche/fb9/zemki/media/photos/publikationen/working-papers/2020/CoFi_EWP_No-36_Kirschner-Schmitz-Hepp.pdf?fbclid=IwAR1qovaaQd-uuP2Ij0aPnrBOm6W6Ci_s2zTlIGYG2_zgWkfZxexQ2zcGoVI

https://www.researchgate.net/publication/360765628_Transnational_Networks_of_Influence_The_Twitter_Presence_of_the_Quantified_Self_and_Maker_Movements'_Organizational_Elites",Analyzed my Twitter posts on the topic of Quantified Self for analyzing NETWORKS OF OPINION LEADERS AND HETEROGENEOUS ORGANIZATIONS
Creation and Computation (2018),College Course,2018,Quantified Self / EEG,Personal / OCADU.ca Digital Futures,Nick Alexander,,"http://blog.ocad.ca/wordpress/digf6037-fw201802-01/tag/branwaves/

https://github.com/npyalex/mindPaint",Course project inspired by my work with the Neurosky Brainwave Visualizer - https://eric-blue.com/2011/07/13/neurosky-brainwave-visualizer/
A Review of Recent Trends and Issues in Visualization ,Journal Article,2016,Knowledge Management,IJCSE,Satish Kumar," International Journal on Computer Science and Engineering (IJCSE)
See: https://admissions.ocadu.ca/program/digital-futures",http://www.enggjournals.com/ijcse/doc/IJCSE16-08-03-101.pdf,"Visualization tools used for knowledge management are discussed 
https://eric-blue.com/2009/05/10/15-effective-tools-for-visual-knowledge-management/"
Spletna Besedila In Jezik Na Spletu,Book,2015,Knowledge Management,"Založba ZRC, ZRC SAZU",Mija Michelizza,Slovenian publication ,https://www.google.com/books/edition/Spletna_besedila_in_jezik_na_spletu/BeayDAAAQBAJ?hl=en&gbpv=0,Eric Blue - Personal Memex - https://eric-blue.com/my-projects/personal-memex/
"Sistema Brain Computer Interface
",Thesis,2015,Quantified Self / EEG,Universitat Politècnica de Catalunya,"Martín Barraza
Juan Ignacio","Brain Computer Interface system in which, from Mind Wave dispositive from Neurosky company, will be sought to control the prototype of a human hand.",https://upcommons.upc.edu/handle/2117/78057?show=full,Leveraged my work with the Neurosky Brainwave Visualizer - https://eric-blue.com/2011/07/13/neurosky-brainwave-visualizer/
Digital Humanities : BigDigitalScience,College Course,2014,Knowledge Management,Digital Humanities Course,Dr. Morgan,ENGL 2930: Intro to the Digital Humanities,https://web.archive.org/web/20200809053647/http://erhetoric.org/dh/wikka.php?wakka=BigDigitalScience,Referenced my Personal Memex project http://eric-blue.com/my-projects/personal-memex/
"Überprüfung der Eignung von Elektroenzephalografiedaten
eines Brain-Computer-Interfaces zur computergestützten
Authentifizierung",Thesis,2014,Quantified Self / EEG,Hamburg University of Applied Sciences,Timo Briddigkeit,,https://reposit.haw-hamburg.de/bitstream/20.500.12738/6724/1/Bachelorarbeit.pdf,Leveraged my work with the Neurosky Brainwave Visualizer - https://eric-blue.com/2011/07/13/neurosky-brainwave-visualizer/ and MindStream - https://github.com/ericblue/MindStream
